Date,Open,High,Low,Adj Close,Volume,Prev Day OI,Prev Day Volume
2012-12-19,1406.75,1406.75,1406.75,1406.75,0,0,0
2012-12-20,1414,1414,1414,1414,0,0,0
2012-12-21,1399.5,1399.5,1399.5,1399.5,0,0,0
2012-12-24,1393.25,1393.25,1393.25,1393.25,0,0,0
2012-12-26,1387,1387,1387,1387,0,0,0
2012-12-27,1384.5,1384.5,1384.5,1384.5,0,0,0
2012-12-28,1357.5,1357.5,1357.5,1357.5,0,0,0
2012-12-31,1393.75,1393.75,1393.75,1393.75,0,0,0
2013-01-02,1430.5,1430.5,1430.5,1430.5,0,0,0
2013-01-03,1427,1427,1427,1427,0,0,0
2013-01-04,1431.25,1431.25,1431.25,1431.25,0,0,0
2013-01-07,1429.25,1429.25,1429.25,1429.25,0,0,0
2013-01-08,1425.75,1425.75,1425.75,1425.75,,0,5
2013-01-09,1429.25,1429.25,1429.25,1429.25,0,0,0
2013-01-10,1440.5,1440.5,1440.5,1440.5,0,0,0
2013-01-11,1440.5,1440.5,1440.5,1440.5,0,0,0
2013-01-14,1437.75,1437.75,1437.75,1437.75,0,0,0
2013-01-15,1438.5,1438.5,1438.5,1438.5,0,0,0
2013-01-16,1439,1439,1439,1439,0,0,0
2013-01-17,1449,1449,1449,1449,0,0,0
2013-01-18,1452.25,1452.25,1452.25,1452.25,0,0,0
2013-01-22,1462.75,1462.75,1462.75,1462.75,0,0,0
2013-01-23,1463.75,1463.75,1463.75,1463.75,0,0,0
2013-01-24,1465.25,1465.25,1465.25,1465.25,0,0,0
2013-01-25,1469,1469,1469,1469,0,0,0
2013-01-28,1470.75,1470.75,1470.75,1470.75,0,0,0
2013-01-29,1478.75,1478.75,1478.75,1478.75,0,0,0
2013-01-30,1469,1469,1469,1469,0,0,0
2013-01-31,1467.25,1467.25,1467.25,1467.25,0,0,0
2013-02-01,1480.75,1480.75,1480.75,1480.75,0,0,0
2013-02-04,1467.5,1467.5,1467.5,1467.5,0,0,0
2013-02-05,1480,1480,1480,1480,0,0,0
2013-02-06,1481,1481,1481,1481,0,0,0
2013-02-07,1479.5,1479.5,1479.5,1479.5,0,0,0
2013-02-08,1486.5,1486.5,1486.5,1486.5,0,0,0
2013-02-11,1487.25,1487.25,1487.25,1487.25,0,0,0
2013-02-12,1490.5,1490.5,1490.5,1490.5,0,0,0
