Date,Open,High,Low,Adj Close,Volume,Prev Day OI,Prev Day Volume
2014-03-21,1873.0,1893.3,1870.75,1893.3,,1074234.0,344340.0
2014-03-20,1858.5,1874.25,1852.5,1873.75,,1166011.0,640709.0
2014-03-19,1871.0,1874.5,1849.5,1859.75,,1349263.0,871094.0
2014-03-18,1858.75,1874.0,1852.5,1870.75,,1781171.0,797416.0
2014-03-17,1839.5,1862.75,1830.5,1857.75,,2120009.0,1309202.0
2014-03-14,1847.25,1853.0,1839.0,1840.0,,2574695.0,2346907.0
2014-03-13,1868.75,1875.0,1841.5,1846.75,,3000644.0,1666288.0
2014-03-12,1864.75,1869.0,1853.75,1867.75,,3050825.0,1609666.0
2014-03-11,1876.25,1882.25,1863.0,1865.25,,3080700.0,1167755.0
2014-03-10,1875.5,1878.75,1865.75,1877.25,,3104782.0,1756169.0
2014-03-07,1876.25,1887.5,1869.25,1878.0,,3146004.0,1283006.0
2014-03-06,1873.75,1881.0,1871.0,1876.25,,3181131.0,1254803.0
2014-03-05,1870.75,1875.5,1867.75,1872.5,,3183505.0,1750397.0
2014-03-04,1843.75,1874.75,1843.5,1871.5,,3165575.0,2376689.0
2014-03-03,1846.0,1849.5,1832.25,1843.0,,3110444.0,2106508.0
2014-02-28,1854.5,1866.5,1845.25,1857.5,,3122222.0,1615828.0
2014-02-27,1843.75,1855.75,1832.75,1854.0,,3111778.0,1464320.0
2014-02-26,1847.5,1853.25,1838.0,1842.0,,3108523.0,1566204.0
2014-02-25,1844.75,1851.0,1837.25,1846.25,,3131431.0,1612323.0
2014-02-24,1835.25,1856.75,1829.25,1846.0,,3158062.0,1316655.0
2014-02-21,1836.0,1844.0,1832.75,1834.25,,3137291.0,1608588.0
2014-02-20,1826.0,1840.25,1817.25,1836.25,,3119786.0,1771087.0
2014-02-19,1837.25,1844.5,1823.25,1825.5,,3091043.0,1210508.0
2014-02-18,1833.5,1840.25,1831.5,1837.5,,3062413.0,1365228.0
