date,open,high,low,settle,volume
2019-04-05,7565.0,7612.75,7556.0,7604.25,356900
2019-04-04,7581.25,7598.0,7522.0,7561.5,429681
2019-04-03,7517.0,7616.25,7513.25,7582.25,479933
2019-04-02,7495.25,7532.5,7483.75,7519.25,358305
2019-04-01,7430.0,7506.5,7428.5,7498.5,410749
2019-03-29,7350.25,7414.5,7350.25,7400.5,392577
2019-03-28,7323.5,7372.5,7289.5,7352.0,444798
2019-03-27,7383.5,7404.75,7276.0,7334.5,591443
2019-03-26,7363.0,7447.5,7340.5,7376.75,552578
2019-03-25,7372.25,7390.5,7290.0,7355.25,589722
2019-03-22,7526.75,7544.75,7353.0,7368.75,684553
2019-03-21,7400.5,7541.0,7367.75,7534.5,521408
2019-03-20,7378.0,7458.0,7349.5,7409.5,536516
2019-03-19,7362.25,7421.25,7351.25,7376.5,423736
2019-03-18,7338.0,7379.5,7321.75,7360.75,363635
2019-03-15,7272.5,7361.0,7269.75,7343.25,408040
2019-03-14,7302.75,7318.5,7265.75,7267.25,359935
2019-03-13,7237.75,7324.25,7211.0,7296.5,404323
2019-03-12,7176.0,7223.0,7163.25,7206.5,162997
2019-03-11,7022.25,7176.75,6997.5,7164.75,202365
2019-03-08,7025.5,7034.0,6939.0,7026.75,309105
2019-03-07,7109.0,7123.25,7003.25,7027.5,554384
2019-03-06,7156.0,7171.25,7107.0,7111.25,442932
2019-03-05,7144.5,7182.0,7124.25,7165.5,364229
2019-03-04,7177.0,7211.5,7074.5,7145.75,554610
2019-03-01,7106.5,7164.5,7098.25,7156.0,378984
2019-02-28,7121.25,7130.75,7072.5,7102.5,360783
2019-02-27,7109.25,7131.75,7048.0,7121.75,365472
2019-02-26,7122.0,7151.0,7073.25,7117.75,361492
2019-02-25,7108.5,7168.5,7102.0,7125.75,343380
2019-02-22,7031.25,7101.25,7019.25,7088.25,364267
2019-02-21,7070.75,7113.75,7005.0,7034.5,431652
2019-02-20,7068.75,7105.0,7032.25,7073.25,416240
2019-02-19,7063.75,7094.75,7035.25,7068.25,384177
2019-02-15,7017.5,7095.25,6975.25,7063.75,428915
2019-02-14,7017.25,7057.5,6972.0,7019.75,489084
2019-02-13,7017.25,7069.75,7012.0,7016.25,357901
2019-02-12,6908.5,7028.5,6903.0,7018.5,360109
2019-02-11,6921.75,6969.5,6896.25,6914.25,383734
2019-02-08,6902.0,6926.25,6841.0,6916.75,462727
2019-02-07,6988.0,6994.75,6856.25,6905.5,591576
2019-02-06,7009.25,7038.75,6972.25,6995.75,373171
2019-02-05,6937.5,7033.75,6928.25,7008.0,366592
2019-02-04,6863.75,6983.0,6858.25,6937.5,346554
2019-02-01,6911.0,6927.5,6860.5,6877.75,455059
2019-01-31,6844.25,6943.0,6839.25,6914.75,552607
2019-01-30,6690.25,6845.25,6657.75,6837.25,519893
2019-01-29,6695.25,6721.0,6616.75,6638.75,437939
2019-01-28,6784.25,6791.0,6648.25,6701.75,484580
2019-01-25,6684.5,6810.5,6676.75,6791.25,442680
2019-01-24,6663.0,6718.5,6653.0,6675.0,446194
2019-01-23,6652.0,6724.25,6592.25,6665.25,509598
2019-01-22,6794.5,6794.5,6611.5,6653.0,644347
2019-01-18,6722.75,6828.25,6712.0,6792.75,491521
2019-01-17,6670.0,6760.0,6612.25,6720.0,467434
2019-01-16,6674.5,6737.25,6664.0,6666.25,439428
2019-01-15,6543.0,6689.0,6542.25,6676.75,488495
2019-01-14,6599.0,6602.5,6521.5,6545.0,362364
2019-01-11,6622.5,6632.5,6572.0,6612.75,359430
2019-01-10,6597.25,6641.75,6527.5,6625.25,491529
2019-01-09,6546.75,6645.0,6546.75,6604.75,490592
2019-01-08,6506.0,6586.25,6467.25,6557.25,531042
2019-01-07,6451.25,6535.75,6402.5,6496.5,504200
2019-01-04,6168.75,6462.0,6136.5,6434.0,684595
2019-01-03,6242.75,6304.25,6148.5,6162.0,704853
2019-01-02,6349.5,6409.25,6154.0,6371.0,652963
2018-12-31,6312.25,6376.75,6283.0,6333.25,369131
2018-12-28,6309.0,6402.5,6243.75,6293.25,629587
2018-12-27,6283.0,6333.0,6053.25,6323.5,728171
2018-12-26,5902.0,6310.0,5820.5,6285.5,632274
2018-12-24,6049.75,6123.0,5888.75,5892.0,438525
2018-12-21,6325.0,6338.0,6030.0,6059.0,855478
2018-12-20,6350.0,6404.5,6180.0,6325.25,1008373
2018-12-19,6464.75,6610.0,6301.25,6352.25,711914
2018-12-18,6471.25,6555.75,6435.75,6462.75,219100
2018-12-17,6580.0,6635.25,6401.25,6466.25,311913
2018-12-14,6752.0,6760.75,6583.25,6599.5,347547
2018-12-13,6769.0,6838.5,6723.0,6752.0,620412
2018-12-12,6686.5,6872.0,6683.5,6769.0,652838
2018-12-11,6695.0,6808.75,6651.25,6717.0,726734
2018-12-10,6596.25,6714.5,6535.25,6699.25,775581
2018-12-07,6835.5,6856.5,6594.75,6623.5,845690
2018-12-06,6834.5,6854.25,6630.25,6824.5,982943
2018-12-05,6796.0,6861.75,6792.5,6803.25,70696
2018-12-04,7055.25,7055.25,6783.0,6803.25,806515
2018-12-03,7041.0,7139.0,7015.25,7058.25,569500
2018-11-30,6902.25,6967.25,6871.5,6949.5,481430
2018-11-29,6907.0,6943.75,6843.0,6913.25,525982
2018-11-28,6722.25,6923.5,6709.25,6918.25,626442
2018-11-27,6639.5,6723.0,6613.25,6712.5,575330
2018-11-26,6537.5,6696.5,6530.5,6673.25,502424
2018-11-23,6584.25,6601.5,6495.0,6531.0,362120
2018-11-21,6527.75,6647.75,6509.0,6576.25,566053
2018-11-20,6668.5,6670.0,6449.5,6532.5,903409
2018-11-19,6875.0,6934.5,6632.25,6672.0,741653
2018-11-16,6874.5,6915.0,6806.25,6895.25,688848
2018-11-15,6780.0,6920.5,6712.25,6915.5,784784
2018-11-14,6861.75,6929.5,6746.0,6768.25,726393
2018-11-13,6847.0,6962.0,6801.25,6853.0,705993
2018-11-12,7026.25,7103.75,6825.75,6835.0,701759
2018-11-09,7145.75,7166.25,6989.0,7031.25,584900
2018-11-08,7212.75,7231.0,7132.0,7166.0,473369
2018-11-07,7011.5,7225.0,6971.5,7218.5,618950
2018-11-06,6947.25,7034.75,6906.75,7016.5,512120
2018-11-05,6972.75,6998.5,6865.0,6949.5,503519
2018-11-02,6987.25,7143.25,6911.25,6980.25,781067
2018-11-01,6960.0,7079.75,6936.75,7077.75,583926
2018-10-31,6857.0,7039.25,6816.75,6975.5,745673
2018-10-30,6719.25,6849.25,6661.0,6815.25,829610
2018-10-29,6898.0,6991.5,6580.5,6736.25,898222
2018-10-26,6882.0,6986.5,6734.25,6893.25,1057475
2018-10-25,6878.5,7075.75,6816.75,6926.5,787330
2018-10-24,7136.25,7175.0,6785.75,6836.25,888327
2018-10-23,7155.0,7164.0,6944.0,7140.25,821916
2018-10-22,7085.75,7210.5,7057.0,7155.25,640356
2018-10-19,7154.0,7244.25,7092.75,7106.5,656286
2018-10-18,7307.75,7309.5,7094.5,7137.75,696871
2018-10-17,7339.75,7368.5,7221.5,7313.25,660239
2018-10-16,7068.25,7357.5,7063.5,7353.75,607389
2018-10-15,7176.75,7179.0,7060.75,7076.5,633009
2018-10-12,7040.75,7197.75,7034.25,7172.25,761344
2018-10-11,7010.25,7138.0,6907.75,7031.0,1141308
2018-10-10,7394.75,7412.0,7000.0,7032.0,914919
2018-10-09,7391.0,7455.75,7337.0,7399.0,581004
2018-10-08,7443.25,7453.25,7286.5,7391.75,610135
2018-10-05,7521.0,7540.0,7347.0,7436.0,723036
2018-10-04,7651.0,7651.0,7456.5,7514.25,679763
2018-10-03,7656.25,7703.75,7641.5,7664.75,392314
2018-10-02,7675.0,7712.75,7630.25,7652.75,391842
2018-10-01,7672.0,7728.75,7652.0,7675.5,354196
2018-09-28,7663.5,7677.0,7617.0,7655.25,377918
2018-09-27,7590.25,7686.25,7586.0,7657.25,370735
2018-09-26,7598.0,7668.0,7577.5,7590.25,400816
2018-09-25,7591.0,7603.25,7550.5,7595.25,316190
2018-09-24,7539.75,7594.0,7473.75,7586.0,387105
2018-09-21,7609.0,7637.5,7547.5,7550.5,367392
2018-09-20,7529.75,7616.75,7514.0,7608.75,401300
2018-09-19,7529.25,7546.0,7470.75,7526.5,405954
2018-09-18,7434.25,7535.25,7393.5,7495.25,167416
2018-09-17,7534.0,7547.25,7429.5,7436.25,197101
2018-09-14,7563.5,7598.75,7515.25,7544.75,231370
2018-09-13,7483.25,7583.25,7470.0,7564.5,456005
2018-09-12,7515.25,7541.0,7425.0,7485.75,580764
2018-09-11,7460.5,7524.75,7404.5,7512.0,463425
2018-09-10,7433.0,7483.5,7414.0,7460.25,417954
2018-09-07,7454.75,7494.75,7393.0,7438.5,594388
2018-09-06,7530.0,7544.5,7407.75,7457.5,646349
2018-09-05,7642.25,7643.25,7503.25,7531.75,517885
2018-09-04,7670.0,7693.75,7586.75,7638.75,464907
2018-08-31,7641.75,7682.25,7633.25,7661.25,342731
2018-08-30,7672.75,7697.0,7626.25,7649.0,390412
2018-08-29,7581.0,7674.5,7581.0,7668.75,309943
2018-08-28,7568.25,7597.25,7564.25,7578.0,271744
2018-08-27,7499.0,7569.0,7498.75,7568.0,278412
2018-08-24,7427.0,7499.5,7422.75,7495.75,276793
2018-08-23,7433.5,7475.0,7411.25,7424.5,353058
2018-08-22,7374.25,7444.75,7352.0,7433.25,308963
2018-08-21,7381.25,7452.25,7369.0,7397.5,317360
2018-08-20,7390.5,7420.75,7351.5,7387.0,283230
2018-08-17,7382.5,7407.0,7321.75,7387.75,364669
2018-08-16,7380.0,7434.5,7363.25,7389.0,344164
2018-08-15,7460.5,7464.75,7316.5,7374.0,516327
2018-08-14,7420.5,7465.0,7397.0,7457.75,304082
2018-08-13,7425.5,7479.0,7378.25,7417.0,377423
2018-08-10,7472.25,7472.75,7390.75,7427.0,387050
2018-08-09,7463.5,7505.5,7458.75,7475.5,236465
2018-08-08,7478.25,7496.0,7442.5,7471.5,248893
2018-08-07,7442.5,7486.75,7440.25,7477.25,260288
2018-08-06,7404.25,7449.75,7387.5,7444.0,247647
2018-08-03,7392.0,7415.0,7362.25,7402.0,294943
2018-08-02,7284.25,7395.25,7214.25,7385.75,435155
2018-08-01,7293.0,7303.75,7241.0,7277.0,363163
2018-07-31,7210.0,7298.0,7189.25,7244.75,427656
2018-07-30,7293.0,7309.25,7166.75,7200.5,494277
2018-07-27,7429.5,7467.0,7263.5,7301.25,528864
2018-07-26,7412.25,7450.0,7361.0,7430.75,385414
2018-07-25,7410.5,7530.0,7397.0,7469.5,348178
2018-07-24,7420.25,7489.75,7386.75,7416.25,403642
2018-07-23,7368.0,7432.75,7311.5,7430.5,285612
2018-07-20,7380.25,7413.75,7350.75,7360.0,295934
2018-07-19,7400.0,7416.0,7354.75,7367.75,319197
2018-07-18,7424.25,7437.75,7381.5,7404.5,265489
2018-07-17,7320.0,7436.0,7292.5,7421.75,340130
2018-07-16,7399.5,7413.75,7316.0,7325.0,243399
2018-07-13,7382.0,7414.25,7367.0,7393.0,278121
2018-07-12,7259.75,7387.0,7249.5,7382.75,302142
2018-07-11,7263.5,7290.0,7204.5,7253.75,371050
2018-07-10,7300.75,7335.5,7259.5,7301.5,284991
2018-07-09,7232.5,7303.5,7232.25,7300.25,267490
2018-07-06,7118.75,7237.75,7101.25,7233.5,315798
2018-07-05,7023.0,7128.0,7015.0,7125.75,376348
2018-07-03,7113.75,7165.0,7022.25,7023.75,298221
2018-07-02,7068.25,7119.75,6987.5,7116.5,378309
2018-06-29,7055.25,7123.75,7045.0,7066.75,394197
2018-06-28,6998.75,7076.5,6956.0,7060.5,480458
2018-06-27,7098.25,7151.5,6988.0,6998.25,542658
2018-06-26,7064.25,7130.0,7040.5,7104.0,396552
2018-06-25,7222.75,7222.75,6995.5,7073.5,588737
2018-06-22,7228.0,7274.0,7198.25,7222.75,321262
2018-06-21,7315.25,7358.5,7226.25,7237.75,418870
2018-06-20,7253.75,7336.5,7226.75,7313.25,316261
2018-06-19,7275.0,7279.0,7157.5,7252.25,446287
2018-06-18,7276.0,7289.25,7208.75,7276.0,285579
2018-06-15,7310.25,7318.75,7245.0,7281.5,357849
2018-06-14,7232.25,7321.0,7205.25,7311.25,333787
2018-06-13,7241.75,7290.0,7219.25,7231.0,353202
2018-06-12,7192.5,7244.75,7181.0,7226.25,275735
2018-06-11,7135.0,7189.0,7125.0,7170.25,169792
2018-06-08,7160.0,7163.0,7077.75,7151.5,211839
2018-06-07,7217.5,7234.25,7116.75,7161.0,408155
2018-06-06,7181.75,7222.25,7142.25,7215.0,298821
2018-06-05,7147.5,7187.5,7137.5,7179.25,253512
2018-06-04,7079.75,7151.5,7071.75,7148.25,245943
2018-06-01,6982.5,7090.5,6977.25,7083.0,318235
2018-05-31,6978.5,7023.5,6958.25,6977.0,381381
2018-05-30,6948.0,6994.75,6918.5,6987.25,301735
2018-05-29,6989.0,7007.0,6890.5,6944.5,483516
2018-05-25,6955.0,7003.75,6942.5,6960.25,314454
2018-05-24,6956.75,6975.0,6885.25,6957.25,378139
2018-05-23,6905.5,6961.5,6829.75,6957.0,389560
2018-05-22,6914.0,6954.75,6890.0,6909.25,268532
2018-05-21,6919.0,6957.0,6881.5,6915.75,292052
2018-05-18,6908.5,6936.25,6862.25,6874.0,312686
2018-05-17,6935.25,6962.0,6875.0,6905.75,320638
2018-05-16,6895.5,6953.5,6875.5,6937.25,271646
2018-05-15,6969.0,6976.75,6854.25,6890.5,421407
2018-05-14,6958.25,7013.5,6955.5,6974.0,252606
2018-05-11,6949.5,6979.5,6928.25,6960.0,260242
2018-05-10,6896.0,6971.25,6888.75,6965.0,291106
2018-05-09,6822.0,6901.25,6808.25,6896.0,315834
2018-05-08,6817.0,6837.5,6771.0,6820.5,369129
2018-05-07,6779.0,6851.25,6772.25,6826.0,322389
2018-05-04,6666.5,6788.5,6610.5,6774.75,401793
2018-05-03,6630.75,6671.5,6538.0,6664.5,511415
2018-05-02,6715.5,6729.5,6625.25,6633.5,378651
2018-05-01,6606.0,6740.0,6578.75,6692.0,360091
2018-04-30,6668.0,6718.0,6595.5,6613.0,386633
2018-04-27,6744.75,6772.0,6623.0,6669.75,475218
2018-04-26,6583.25,6749.0,6559.25,6734.75,423193
2018-04-25,6525.75,6576.25,6429.25,6555.75,543130
2018-04-24,6660.75,6717.75,6467.25,6526.75,622492
2018-04-23,6705.5,6728.0,6616.75,6667.0,382588
2018-04-20,6777.75,6790.25,6646.0,6676.25,413144
2018-04-19,6855.25,6866.25,6755.25,6780.0,373937
2018-04-18,6819.5,6867.0,6796.75,6843.5,296729
2018-04-17,6704.25,6844.75,6698.5,6828.75,323546
2018-04-16,6674.25,6722.0,6639.25,6712.0,322800
2018-04-13,6668.75,6713.0,6606.25,6640.75,460289
2018-04-12,6596.25,6693.75,6589.75,6670.75,356462
2018-04-11,6625.25,6663.25,6550.75,6592.75,438020
2018-04-10,6490.5,6651.75,6471.75,6624.25,540707
2018-04-09,6463.0,6618.0,6460.0,6497.0,476016
