Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2000-12-15,1317.75,1340.75,1317.75,1318.25,0.0,0.0,0.0
2000-12-14,1358.25,1362.75,1335.25,1338.5,0.0,0.0,0.0
2000-12-13,1378.25,1387.75,1357.5,1357.5,0.0,0.0,0.0
2000-12-12,1380.5,1381.25,1355.0,1379.0,0.0,0.0,0.0
2000-12-11,1368.5,1392.0,1362.5,1382.5,0.0,0.0,0.0
2000-12-08,1332.0,1384.25,1332.0,1337.75,0.0,0.0,0.0
2000-12-07,1354.25,1362.0,1335.25,1336.75,0.0,0.0,0.0
2000-12-06,1373.0,1379.5,1339.25,1354.0,0.0,0.0,0.0
2000-12-05,1331.5,1380.25,1329.0,1374.25,0.0,0.0,0.0
2000-12-04,1323.0,1337.5,1313.25,1330.5,0.0,0.0,0.0
2000-12-01,1321.5,1338.25,1310.0,1320.5,0.0,0.0,0.0
2000-11-30,1332.75,1333.75,1296.75,1321.5,0.0,0.0,0.0
2000-11-29,1338.0,1357.5,1333.0,1335.25,0.0,0.0,0.0
2000-11-28,1358.5,1364.5,1337.5,1338.5,0.0,0.0,0.0
2000-11-27,1348.5,1367.75,1348.5,1358.75,0.0,0.0,0.0
2000-11-24,1330.0,1349.5,1320.25,1346.5,0.0,0.0,0.0
2000-11-22,1356.0,1361.0,1322.0,1323.0,0.0,0.0,0.0
2000-11-21,1348.25,1362.75,1336.5,1355.75,0.0,0.0,0.0
2000-11-20,1369.75,1373.5,1345.25,1347.0,0.0,0.0,0.0
2000-11-17,1378.75,1393.5,1360.25,1370.5,0.0,0.0,0.0
2000-11-16,1396.75,1402.75,1376.5,1379.25,0.0,0.0,0.0
2000-11-15,1394.25,1404.5,1381.5,1397.5,0.0,0.0,0.0
2000-11-14,1359.0,1399.75,1358.5,1394.5,0.0,0.0,0.0
2000-11-13,1369.0,1373.0,1335.0,1358.75,0.0,0.0,0.0
2000-11-10,1404.75,1408.0,1370.5,1372.5,0.0,0.0,0.0
2000-11-09,1413.75,1420.75,1378.5,1403.25,0.0,0.0,0.0
2000-11-08,1443.75,1455.0,1410.5,1413.25,0.0,0.0,0.0
2000-11-07,1444.5,1446.0,1432.0,1444.0,0.0,0.0,0.0
2000-11-06,1436.0,1452.5,1436.0,1446.5,0.0,0.0,0.0
2000-11-03,1434.25,1444.5,1430.5,1436.25,0.0,0.0,0.0
2000-11-02,1432.25,1444.5,1430.0,1435.0,0.0,0.0,0.0
2000-11-01,1441.0,1441.0,1419.5,1432.0,0.0,0.0,0.0
2000-10-31,1413.25,1445.5,1408.25,1440.25,0.0,0.0,0.0
2000-10-30,1398.0,1419.5,1387.0,1411.25,0.0,0.0,0.0
2000-10-27,1370.0,1402.0,1368.0,1401.0,0.0,0.0,0.0
2000-10-26,1374.75,1384.25,1348.5,1371.25,0.0,0.0,0.0
2000-10-25,1405.25,1405.5,1370.5,1374.0,0.0,0.0,0.0
2000-10-24,1415.25,1428.75,1399.0,1403.0,0.0,0.0,0.0
2000-10-23,1409.75,1419.75,1399.75,1417.25,0.0,0.0,0.0
2000-10-20,1402.0,1422.0,1394.5,1411.0,0.0,0.0,0.0
