Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2010-03-15,1.103,1.103,1.1017,1.1026,,222.0,96.0
2010-03-12,1.1039,1.1087,1.0982,1.1047,,196.0,89.0
2010-03-11,1.1055,1.1083,1.1027,1.1038,,288.0,72.0
2010-03-10,1.1111,1.1119,1.1011,1.1047,,303.0,356.0
2010-03-09,1.1078,1.1156,1.1074,1.1117,,300.0,111.0
2010-03-08,1.1051,1.1091,1.103,1.1071,,304.0,157.0
2010-03-05,1.1211,1.1217,1.1041,1.1068,,341.0,160.0
2010-03-04,1.1291,1.1345,1.1205,1.1224,,421.0,186.0
2010-03-03,1.1266,1.1321,1.1238,1.1314,,338.0,51.0
2010-03-02,1.1216,1.1292,1.119,1.128,,344.0,124.0
2010-03-01,1.1259,1.126,1.1177,1.123,,369.0,110.0
2010-02-26,1.1213,1.1267,1.1175,1.1253,,370.0,227.0
2010-02-25,1.109,1.126,1.1074,1.1219,,350.0,97.0
2010-02-24,1.1098,1.1139,1.1069,1.1094,,337.0,302.0
2010-02-23,1.0961,1.1122,1.0956,1.1089,,333.0,70.0
2010-02-22,1.0905,1.0986,1.0884,1.0967,,318.0,82.0
2010-02-19,1.0863,1.0921,1.0854,1.0901,,304.0,123.0
2010-02-18,1.0967,1.1041,1.0896,1.0951,,292.0,143.0
2010-02-17,1.1079,1.1091,1.0942,1.0974,,306.0,67.0
2010-02-16,1.111,1.1146,1.105,1.1095,,305.0,69.0
2010-02-12,1.1143,1.1163,1.1064,1.1119,,304.0,57.0
2010-02-11,1.1122,1.1168,1.1097,1.1144,,300.0,68.0
2010-02-10,1.1137,1.1203,1.1105,1.1125,,300.0,91.0
2010-02-09,1.1205,1.1211,1.1139,1.1157,,309.0,73.0
2010-02-08,1.1215,1.1217,1.1168,1.1193,,316.0,166.0
2010-02-05,1.1214,1.1259,1.1129,1.1216,,313.0,241.0
2010-02-04,1.0994,1.1293,1.0983,1.1215,,329.0,142.0
2010-02-03,1.1061,1.1101,1.0958,1.0994,,290.0,45.0
2010-02-02,1.1011,1.1079,1.1003,1.1068,,274.0,88.0
2010-02-01,1.1085,1.1112,1.0998,1.1034,,269.0,163.0
2010-01-29,1.114,1.1189,1.0977,1.1078,,303.0,77.0
2010-01-28,1.1115,1.1157,1.1046,1.1123,,324.0,124.0
2010-01-27,1.1154,1.1221,1.1103,1.1119,,332.0,113.0
2010-01-26,1.1061,1.1195,1.1047,1.115,,347.0,62.0
2010-01-25,1.112,1.1134,1.1072,1.1081,,366.0,101.0
2010-01-22,1.1112,1.1143,1.1044,1.1132,,348.0,165.0
2010-01-21,1.0964,1.1097,1.0889,1.1065,,336.0,134.0
2010-01-20,1.0954,1.1015,1.0937,1.0967,,338.0,91.0
2010-01-19,1.1005,1.1074,1.0958,1.098,,330.0,50.0
2010-01-15,1.0962,1.1037,1.0956,1.1004,,305.0,125.0
2010-01-14,1.0952,1.1013,1.0866,1.0994,,279.0,66.0
2010-01-13,1.0951,1.1002,1.0927,1.0939,,288.0,180.0
2010-01-12,1.0856,1.1024,1.0825,1.0991,,260.0,55.0
2010-01-11,1.0845,1.0894,1.0796,1.0864,,265.0,119.0
2010-01-08,1.0703,1.0842,1.0682,1.0801,,260.0,85.0
2010-01-07,1.0833,1.0859,1.071,1.074,,244.0,65.0
2010-01-06,1.091,1.092,1.0787,1.0825,,253.0,86.0
2010-01-05,1.082,1.0959,1.081,1.0903,,250.0,445.0
2010-01-04,1.0775,1.085,1.0733,1.0804,,234.0,958.0
2009-12-31,1.0829,1.0871,1.0733,1.074,,381.0,799.0
2009-12-30,1.0881,1.0881,1.0785,1.0818,,203.0,68.0
2009-12-29,1.0903,1.0928,1.0866,1.088,,210.0,53.0
2009-12-28,1.09,1.0938,1.09,1.0921,,233.0,283.0
2009-12-24,1.0942,1.0981,1.0901,1.0915,,233.0,159.0
2009-12-23,1.091,1.0955,1.089,1.091,,224.0,407.0
2009-12-22,1.098,1.0991,1.0886,1.09,,199.0,293.0
2009-12-21,1.105,1.1083,1.0964,1.0971,,200.0,375.0
2009-12-18,1.1148,1.1256,1.1006,1.1064,,175.0,328.0
2009-12-17,1.112,1.1169,1.1072,1.1123,,177.0,142.0
2009-12-16,1.1175,1.1192,1.1118,1.1124,,174.0,224.0
2009-12-15,1.1281,1.129,1.1125,1.1149,,167.0,79.0
2009-12-14,1.1239,1.1325,1.1214,1.1288,,156.0,197.0
2009-12-11,1.1313,1.1328,1.1144,1.1219,,107.0,88.0
2009-12-10,1.1368,1.1399,1.1317,1.1339,,85.0,65.0
2009-12-09,1.1315,1.1449,1.1285,1.1406,,68.0,46.0
2009-12-08,1.123,1.1344,1.1196,1.1328,,51.0,51.0
2009-12-07,1.1077,1.1232,1.1077,1.1185,,31.0,27.0
2009-12-04,1.1334,1.1358,1.1025,1.103,,28.0,15.0
2009-12-03,1.1409,1.1417,1.132,1.1344,,24.0,15.0
2009-12-02,1.151,1.1513,1.1438,1.1442,,26.0,7.0
2009-12-01,1.149,1.1564,1.1436,1.1546,,22.0,9.0
