Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2014-06-16,0.9825,0.983,0.9802,0.982,,307.0,166.0
2014-06-13,0.9822,0.9828,0.9792,0.9803,,588.0,279.0
2014-06-12,0.9806,0.9841,0.979,0.9837,,816.0,401.0
2014-06-11,0.9771,0.9817,0.9767,0.9802,,929.0,306.0
2014-06-10,0.975,0.9783,0.975,0.977,,1009.0,208.0
2014-06-09,0.9753,0.9767,0.9742,0.9753,,1052.0,260.0
2014-06-06,0.9763,0.9793,0.9747,0.9753,,1053.0,294.0
2014-06-05,0.9736,0.9772,0.9734,0.9761,,1056.0,376.0
2014-06-04,0.975,0.9762,0.973,0.9737,,993.0,359.0
2014-06-03,0.9765,0.9777,0.9751,0.9756,,958.0,411.0
2014-06-02,0.9823,0.9823,0.9759,0.976,,971.0,226.0
2014-05-30,0.9829,0.9854,0.9819,0.9834,,983.0,189.0
2014-05-29,0.9826,0.9859,0.9826,0.983,,1006.0,175.0
2014-05-28,0.9805,0.9839,0.9803,0.9819,,1000.0,439.0
2014-05-27,0.9809,0.9831,0.9791,0.9808,,904.0,229.0
2014-05-23,0.983,0.9843,0.9805,0.9807,,1158.0,697.0
2014-05-22,0.9861,0.9868,0.9823,0.9824,,1148.0,776.0
2014-05-21,0.9872,0.992,0.9841,0.9863,,1133.0,388.0
2014-05-20,0.9859,0.9885,0.9844,0.9876,,1084.0,515.0
2014-05-19,0.9852,0.9893,0.9846,0.9872,,1041.0,295.0
2014-05-16,0.9849,0.9867,0.9838,0.9853,,1045.0,598.0
2014-05-15,0.982,0.9875,0.9794,0.9851,,998.0,291.0
2014-05-14,0.9782,0.9832,0.9781,0.9827,,980.0,285.0
2014-05-13,0.9784,0.9838,0.9772,0.9777,,987.0,311.0
2014-05-12,0.9824,0.9824,0.9788,0.979,,994.0,287.0
2014-05-09,0.9845,0.985,0.982,0.9826,,1023.0,415.0
2014-05-08,0.9821,0.9858,0.9811,0.9856,,982.0,475.0
2014-05-07,0.9836,0.9861,0.9807,0.9827,,1025.0,261.0
2014-05-06,0.979,0.9856,0.9789,0.9848,,1005.0,300.0
2014-05-05,0.9787,0.9819,0.9783,0.9795,,942.0,522.0
2014-05-02,0.9775,0.9793,0.9671,0.9784,,972.0,210.0
2014-05-01,0.9788,0.9793,0.977,0.9777,,983.0,385.0
2014-04-30,0.9746,0.9804,0.974,0.9795,,894.0,226.0
2014-04-29,0.9755,0.9761,0.9731,0.9752,,1091.0,366.0
2014-04-28,0.979,0.9801,0.9745,0.9766,,1137.0,388.0
2014-04-25,0.9778,0.981,0.976,0.9795,,1145.0,537.0
2014-04-24,0.9757,0.9798,0.9742,0.9775,,1116.0,351.0
2014-04-23,0.975,0.9792,0.974,0.9767,,1062.0,273.0
2014-04-22,0.9746,0.9767,0.9737,0.9746,,1042.0,309.0
2014-04-21,0.9764,0.9769,0.974,0.9746,,997.0,372.0
2014-04-17,0.9784,0.9819,0.9762,0.9769,,1096.0,724.0
2014-04-16,0.9825,0.9826,0.9772,0.9782,,1284.0,464.0
2014-04-15,0.9821,0.9855,0.9808,0.9824,,1284.0,315.0
