Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2017-09-18,0.8993,0.8998,0.897,0.8977,,633.0,188.0
2017-09-15,0.9083,0.9124,0.8982,0.902,,684.0,834.0
2017-09-14,0.9049,0.9086,0.9007,0.9046,,912.0,759.0
2017-09-13,0.908,0.91,0.9037,0.9038,,933.0,979.0
2017-09-12,0.9146,0.9156,0.9073,0.9085,,938.0,830.0
2017-09-11,0.9249,0.9249,0.9135,0.9148,,993.0,1328.0
2017-09-08,0.9228,0.9321,0.9221,0.9279,,1089.0,1156.0
2017-09-07,0.9158,0.9259,0.9154,0.9205,,990.0,812.0
2017-09-06,0.9203,0.9225,0.9146,0.9152,,1000.0,1103.0
2017-09-05,0.9126,0.9211,0.9103,0.9209,,927.0,639.0
2017-09-01,0.91,0.9141,0.9056,0.9077,,954.0,850.0
2017-08-31,0.9073,0.9106,0.9042,0.9098,,1016.0,711.0
2017-08-30,0.9127,0.9135,0.9062,0.9069,,1080.0,1816.0
2017-08-29,0.9199,0.9244,0.9107,0.9123,,1123.0,436.0
2017-08-28,0.9163,0.918,0.9149,0.9175,,1076.0,729.0
2017-08-25,0.9135,0.9173,0.9111,0.9161,,1182.0,483.0
2017-08-24,0.9186,0.9196,0.9132,0.9141,,1196.0,548.0
2017-08-23,0.9132,0.9191,0.9115,0.9183,,1196.0,423.0
2017-08-22,0.9189,0.9193,0.9129,0.9142,,1223.0,516.0
2017-08-21,0.9161,0.9216,0.9151,0.9198,,1276.0,934.0
2017-08-18,0.9147,0.9221,0.9136,0.9165,,1201.0,1091.0
2017-08-17,0.9092,0.9149,0.9072,0.9129,,1175.0,1016.0
2017-08-16,0.9054,0.9101,0.9026,0.909,,1111.0,908.0
2017-08-15,0.9134,0.9134,0.9035,0.9057,,1165.0,911.0
2017-08-14,0.9178,0.9179,0.9122,0.9137,,1168.0,933.0
2017-08-11,0.9175,0.9211,0.9156,0.9189,,1200.0,1353.0
2017-08-10,0.9111,0.9177,0.9091,0.9165,,1121.0,1436.0
2017-08-09,0.908,0.9142,0.908,0.9119,,1148.0,842.0
2017-08-08,0.9043,0.9086,0.9039,0.9071,,1114.0,454.0
2017-08-07,0.9046,0.9053,0.9032,0.9047,,1098.0,1320.0
2017-08-04,0.9109,0.9124,0.9022,0.9049,,1056.0,1269.0
2017-08-03,0.9047,0.9119,0.904,0.9104,,1072.0,1628.0
2017-08-02,0.9078,0.9085,0.9028,0.9062,,1072.0,1775.0
2017-08-01,0.9086,0.9116,0.9061,0.9085,,1022.0,1596.0
2017-07-31,0.9055,0.9093,0.9047,0.9091,,926.0,1812.0
2017-07-28,0.9004,0.9066,0.9003,0.906,,942.0,1872.0
2017-07-27,0.9019,0.9046,0.8971,0.9021,,883.0,1753.0
2017-07-26,0.8959,0.9025,0.8935,0.9004,,856.0,1521.0
2017-07-25,0.9017,0.9044,0.8953,0.8958,,874.0,1421.0
2017-07-24,0.9019,0.9061,0.9005,0.9022,,864.0,1666.0
2017-07-21,0.8962,0.903,0.8945,0.9027,,953.0,2444.0
2017-07-20,0.8959,0.8992,0.8917,0.8953,,955.0,1604.0
2017-07-19,0.895,0.8988,0.8935,0.8969,,979.0,1663.0
2017-07-18,0.8902,0.8978,0.8901,0.8956,,979.0,956.0
2017-07-17,0.8913,0.8926,0.8885,0.8904,,988.0,1070.0
2017-07-14,0.8851,0.8932,0.8828,0.8908,,1010.0,1016.0
2017-07-13,0.8857,0.8883,0.8833,0.8854,,968.0,1600.0
2017-07-12,0.8802,0.8881,0.8802,0.8854,,879.0,1455.0
2017-07-11,0.8793,0.882,0.876,0.8811,,828.0,1144.0
2017-07-10,0.8784,0.8805,0.8775,0.8795,,755.0,1773.0
2017-07-07,0.8861,0.8868,0.8784,0.8799,,704.0,1721.0
2017-07-06,0.8862,0.8885,0.8841,0.8856,,724.0,1963.0
2017-07-05,0.8847,0.8897,0.8824,0.885,,682.0,1255.0
2017-07-03,0.8937,0.8941,0.8838,0.8845,,664.0,2828.0
2017-06-30,0.8946,0.8979,0.8909,0.891,,676.0,2938.0
2017-06-29,0.8932,0.8974,0.8884,0.8952,,581.0,2432.0
2017-06-28,0.8937,0.8971,0.8927,0.8939,,586.0,2695.0
2017-06-27,0.8971,0.9004,0.8923,0.895,,600.0,1713.0
2017-06-26,0.902,0.9026,0.8967,0.8971,,534.0,1170.0
2017-06-23,0.9022,0.903,0.9009,0.9021,,539.0,1650.0
2017-06-22,0.9012,0.9046,0.9006,0.9015,,473.0,1362.0
