Date,Open,High,Low,Adj Close,Volume,Prev Day OI,Prev Day Volume
2009-12-14,1.1304,1.1318,1.1242,1.1304,,155.0,69.0
2009-12-11,1.1332,1.1332,1.1145,1.1212,,203.0,85.0
2009-12-10,1.1356,1.1396,1.1308,1.1332,,228.0,93.0
2009-12-09,1.1296,1.1444,1.1276,1.1399,,257.0,69.0
2009-12-08,1.1225,1.1339,1.1183,1.1321,,266.0,115.0
2009-12-07,1.1075,1.123,1.1072,1.1178,,286.0,345.0
2009-12-04,1.1354,1.136,1.1018,1.1023,,508.0,75.0
2009-12-03,1.1418,1.1428,1.1305,1.1337,,647.0,53.0
2009-12-02,1.154,1.1547,1.1431,1.1436,,664.0,233.0
2009-12-01,1.16,1.1615,1.1428,1.154,,391.0,63.0
2009-11-30,1.153,1.1645,1.1516,1.1591,,399.0,201.0
2009-11-27,1.146,1.171,1.1434,1.1523,,327.0,110.0
2009-11-25,1.1288,1.1465,1.1286,1.1442,,299.0,25.0
2009-11-24,1.1236,1.1318,1.1232,1.1294,,289.0,21.0
2009-11-23,1.1247,1.1288,1.1215,1.1237,,316.0,31.0
2009-11-20,1.1255,1.1277,1.1223,1.1242,,321.0,47.0
2009-11-19,1.1199,1.1287,1.1184,1.1237,,320.0,21.0
2009-11-18,1.12,1.1234,1.1178,1.1178,,326.0,28.0
2009-11-17,1.1236,1.1269,1.117,1.1201,,331.0,102.0
2009-11-16,1.1172,1.1265,1.1151,1.1242,,306.0,38.0
2009-11-13,1.107,1.1177,1.106,1.1152,,286.0,37.0
2009-11-12,1.1129,1.1153,1.1038,1.1073,,281.0,33.0
2009-11-10,1.1134,1.1153,1.1095,1.1143,,283.0,35.0
2009-11-09,1.1095,1.1142,1.1083,1.1114,,278.0,40.0
2009-11-06,1.1054,1.1159,1.1021,1.1118,,280.0,31.0
2009-11-05,1.102,1.1112,1.1018,1.1018,,289.0,66.0
2009-11-04,1.1105,1.1105,1.0954,1.1014,,270.0,51.0
2009-11-03,1.1059,1.1128,1.1045,1.1073,,254.0,99.0
2009-11-02,1.115,1.1172,1.1032,1.1066,,243.0,92.0
2009-10-30,1.093,1.1121,1.093,1.1113,,246.0,60.0
2009-10-29,1.1034,1.1082,1.0919,1.0928,,234.0,115.0
2009-10-28,1.0919,1.1044,1.0906,1.1016,,237.0,38.0
2009-10-27,1.0849,1.0904,1.0836,1.0898,,244.0,50.0
2009-10-26,1.0858,1.0921,1.0841,1.0844,,229.0,68.0
2009-10-23,1.0955,1.0955,1.0858,1.0858,,233.0,217.0
2009-10-22,1.0962,1.1004,1.0908,1.0957,,375.0,76.0
2009-10-21,1.1012,1.1053,1.096,1.0988,,370.0,54.0
2009-10-20,1.105,1.1103,1.0986,1.103,,362.0,50.0
2009-10-19,1.0985,1.1068,1.0985,1.1029,,370.0,104.0
2009-10-16,1.1008,1.1042,1.0957,1.1008,,364.0,140.0
2009-10-15,1.1189,1.1202,1.1021,1.1039,,356.0,72.0
2009-10-14,1.1173,1.126,1.1131,1.1178,,354.0,74.0
2009-10-13,1.1127,1.1187,1.1093,1.114,,337.0,113.0
2009-10-09,1.1302,1.1307,1.1132,1.1134,,479.0,57.0
2009-10-08,1.1303,1.1346,1.1281,1.1301,,475.0,138.0
2009-10-07,1.125,1.1368,1.1198,1.1288,,478.0,58.0
2009-10-06,1.1167,1.1288,1.1158,1.1265,,468.0,54.0
2009-10-05,1.1165,1.1188,1.1119,1.1177,,472.0,131.0
2009-10-02,1.1171,1.1287,1.1127,1.1163,,468.0,46.0
2009-10-01,1.1145,1.1187,1.1097,1.1146,,468.0,44.0
2009-09-30,1.1095,1.1195,1.1068,1.1162,,469.0,78.0
2009-09-29,1.1134,1.1161,1.1073,1.1094,,482.0,179.0
2009-09-28,1.1158,1.1339,1.1145,1.1146,,473.0,155.0
2009-09-25,1.0979,1.1177,1.0974,1.1129,,464.0,93.0
2009-09-24,1.0926,1.107,1.0925,1.0959,,469.0,73.0
2009-09-23,1.1042,1.1057,1.0932,1.0974,,456.0,58.0
2009-09-22,1.087,1.1002,1.087,1.0965,,508.0,107.0
2009-09-21,1.093,1.0957,1.0814,1.086,,504.0,27.0
2009-09-18,1.0965,1.099,1.0932,1.095,,502.0,42.0
2009-09-17,1.1008,1.1048,1.0925,1.0976,,497.0,76.0
2009-09-16,1.1,1.1102,1.0953,1.1006,,485.0,24.0
2009-09-15,1.1,1.1014,1.092,1.0983,,491.0,42.0
2009-09-14,1.1065,1.1085,1.0981,1.1003,,503.0,452.0
2009-09-11,1.0935,1.1089,1.0935,1.1048,,104.0,25.0
2009-09-10,1.087,1.0941,1.0851,1.0909,,90.0,31.0
2009-09-09,1.0818,1.0918,1.0812,1.0856,,73.0,43.0
2009-09-08,1.0767,1.0868,1.0765,1.084,,44.0,3.0
2009-09-04,1.0802,1.084,1.0741,1.0758,,53.0,13.0
2009-09-03,1.0795,1.0813,1.0793,1.0813,,31.0,4.0
2009-09-02,1.0796,1.0858,1.0765,1.0858,,27.0,0.0
2009-09-01,1.0768,1.0768,1.0718,1.0768,,27.0,3.0
2009-08-31,1.0757,1.0784,1.0732,1.0762,,27.0,11.0
2009-08-28,1.0665,1.0695,1.0644,1.069,,17.0,1.0
2009-08-27,1.07,1.0706,1.066,1.0706,,17.0,2.0
2009-08-26,1.06,1.0646,1.0594,1.0628,,17.0,2.0
2009-08-25,1.0588,1.0638,1.0582,1.0627,,17.0,7.0
2009-08-24,1.0578,1.059,1.0554,1.059,,11.0,1.0
2009-08-21,1.0599,1.0705,1.0573,1.062,,12.0,0.0
2009-08-20,1.0636,1.0658,1.0599,1.0636,,12.0,4.0
2009-08-19,1.064,1.0681,1.0577,1.0652,,12.0,2.0
2009-08-18,1.052,1.0601,1.051,1.0577,,11.0,2.0
2009-08-17,1.0593,1.062,1.0559,1.0595,,11.0,11.0
2009-08-14,1.0593,1.0594,1.0494,1.0552,,3.0,0.0
2009-08-13,1.0524,1.0526,1.0381,1.0524,,3.0,0.0
2009-08-12,1.0408,1.0511,1.0399,1.0408,,3.0,1.0
2009-08-11,1.0438,1.0448,1.034,1.0428,,2.0,0.0
2009-08-10,1.0318,1.0318,1.0263,1.0318,,2.0,0.0
2009-08-07,1.026,1.0525,1.026,1.026,,2.0,0.0
2009-08-06,1.0491,1.0539,1.0455,1.0491,,2.0,0.0
2009-08-05,1.0546,1.0547,1.0502,1.0546,,2.0,0.0
2009-08-04,1.0512,1.0592,1.0503,1.0512,,2.0,0.0
2009-08-03,1.0505,1.0554,1.0503,1.0505,,2.0,0.0
2009-07-31,1.0563,1.0592,1.0452,1.0563,,2.0,1.0
2009-07-30,1.0463,1.0489,1.0463,1.0472,,2.0,1.0
2009-07-29,1.0545,1.0612,1.0531,1.054,,1.0,0.0
2009-07-28,1.0592,1.0645,1.0555,1.0592,,1.0,0.0
2009-07-27,1.0518,1.056,1.0508,1.0518,,1.0,0.0
2009-07-24,1.0573,1.0573,1.0532,1.0573,,1.0,0.0
2009-07-23,1.0526,1.0544,1.0526,1.0526,,1.0,0.0
2009-07-22,1.0701,1.0751,1.0694,1.0701,,1.0,0.0
2009-07-21,1.0697,1.0697,1.0617,1.0697,,1.0,0.0
2009-07-20,1.0631,1.0631,1.0581,1.0631,,1.0,0.0
2009-07-17,1.0627,1.0698,1.0627,1.0627,,1.0,0.0
2009-07-16,1.0686,1.0734,1.0654,1.0686,,1.0,0.0
2009-07-15,1.0615,1.0736,1.0615,1.0615,,1.0,0.0
2009-07-14,1.0738,1.0788,1.0718,1.0738,,1.0,0.0
2009-07-13,1.0787,1.0901,1.0787,1.0787,,1.0,0.0
2009-07-10,1.0849,1.0873,1.0797,1.0849,,1.0,0.0
2009-07-09,1.0768,1.0809,1.0762,1.0768,,1.0,0.0
2009-07-08,1.084,1.084,1.0617,1.084,,1.0,0.0
2009-07-07,1.0572,1.0572,1.0516,1.0572,,1.0,0.0
2009-07-06,1.0522,1.0566,1.0505,1.0522,,1.0,0.0
2009-07-02,1.0459,1.0459,1.0407,1.0459,,1.0,0.0
2009-07-01,1.038,1.0384,1.0353,1.038,,1.0,0.0
2009-06-30,1.0401,1.0473,1.0401,1.0401,,1.0,0.0
2009-06-29,1.0438,1.0517,1.0438,1.0438,,1.0,0.0
2009-06-26,1.0528,1.0528,1.0489,1.0528,,1.0,0.0
2009-06-25,1.0451,1.0461,1.0401,1.0451,,1.0,0.0
2009-06-24,1.0472,1.0512,1.0472,1.0472,,1.0,0.0
2009-06-23,1.0524,1.0524,1.0476,1.0524,,1.0,0.0
2009-06-22,1.0452,1.0452,1.0425,1.0452,,1.0,0.0
2009-06-19,1.0417,1.0417,1.0342,1.0417,,1.0,0.0
2009-06-18,1.0375,1.0469,1.0375,1.0375,,1.0,1.0
2009-06-17,1.0482,1.0482,1.0472,1.0472,0.0,0.0,0.0
2009-06-16,1.0383,1.0383,1.0344,1.0383,0.0,0.0,0.0
