Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2013-12-16,0.968,0.9737,0.968,0.9707,,450.0,414.0
2013-12-13,0.966,0.9725,0.9624,0.9691,,971.0,381.0
2013-12-12,0.9764,0.9764,0.9665,0.9684,,1246.0,671.0
2013-12-11,0.9721,0.979,0.9715,0.9748,,1165.0,716.0
2013-12-10,0.968,0.9749,0.9672,0.9735,,1120.0,602.0
2013-12-09,0.9706,0.9719,0.9679,0.9687,,1135.0,730.0
2013-12-06,0.9837,0.9839,0.9713,0.9717,,1130.0,550.0
2013-12-05,0.9774,0.9841,0.9762,0.9834,,1129.0,872.0
2013-12-04,0.9765,0.9822,0.9726,0.9791,,1127.0,813.0
2013-12-03,0.972,0.9806,0.9674,0.977,,1168.0,580.0
2013-12-02,0.9762,0.9782,0.9698,0.97,,1190.0,498.0
2013-11-29,0.978,0.9811,0.9747,0.9761,,1146.0,461.0
2013-11-27,0.9874,0.9883,0.9786,0.9793,,1150.0,448.0
2013-11-26,0.9852,0.9887,0.9838,0.9879,,1197.0,546.0
2013-11-25,0.9866,0.9889,0.9814,0.9838,,1160.0,439.0
2013-11-22,0.9886,0.9907,0.9866,0.9871,,1174.0,695.0
2013-11-21,0.9996,0.9996,0.9887,0.9892,,1161.0,692.0
2013-11-20,0.999,1.0022,0.9977,0.9992,,1146.0,541.0
2013-11-19,1.0014,1.0044,0.9976,0.9982,,1116.0,444.0
2013-11-18,0.9972,1.0022,0.9963,0.9995,,1112.0,572.0
2013-11-15,0.9995,1.0007,0.9958,0.9979,,1088.0,703.0
2013-11-14,1.0071,1.0087,0.9987,0.9996,,1109.0,557.0
2013-11-13,1.0037,1.0099,1.0035,1.0065,,1041.0,524.0
2013-11-12,1.0083,1.009,1.0022,1.0034,,995.0,563.0
2013-11-11,1.0083,1.011,1.0072,1.0078,,891.0,870.0
2013-11-08,1.0195,1.0209,1.0081,1.0087,,966.0,1747.0
2013-11-07,1.0136,1.0247,1.0061,1.0218,,841.0,331.0
2013-11-06,1.0154,1.0163,1.0128,1.0135,,914.0,332.0
2013-11-05,1.0149,1.0188,1.0139,1.0145,,942.0,278.0
2013-11-04,1.0131,1.015,1.0119,1.0149,,926.0,642.0
2013-11-01,1.0169,1.0227,1.0117,1.0127,,888.0,515.0
2013-10-31,1.0157,1.0197,1.0148,1.0172,,920.0,677.0
2013-10-30,1.0188,1.0199,1.0135,1.0146,,976.0,465.0
2013-10-29,1.0236,1.0262,1.0178,1.0194,,1009.0,305.0
2013-10-28,1.0237,1.0263,1.0228,1.024,,1012.0,653.0
2013-10-25,1.0278,1.0318,1.0255,1.0274,,1002.0,439.0
2013-10-24,1.0272,1.0294,1.0247,1.0275,,978.0,572.0
2013-10-23,1.0195,1.0295,1.0187,1.0278,,970.0,582.0
2013-10-22,1.0187,1.03,1.0157,1.0198,,980.0,281.0
2013-10-21,1.0206,1.0222,1.0182,1.0187,,998.0,427.0
2013-10-18,1.0212,1.0255,1.0191,1.0221,,961.0,674.0
2013-10-17,1.0124,1.0252,1.0104,1.0223,,1033.0,792.0
2013-10-16,1.0185,1.0192,1.0107,1.013,,1025.0,821.0
2013-10-15,1.0141,1.0191,1.0135,1.0177,,1082.0,443.0
2013-10-11,1.0176,1.0216,1.0145,1.0157,,1152.0,780.0
2013-10-10,1.0272,1.0272,1.018,1.0193,,1205.0,497.0
2013-10-09,1.032,1.0333,1.0247,1.0275,,1211.0,478.0
2013-10-08,1.0343,1.0355,1.0286,1.0316,,1184.0,519.0
2013-10-07,1.0286,1.0348,1.028,1.0325,,1148.0,590.0
2013-10-04,1.0288,1.0319,1.026,1.0268,,1118.0,659.0
2013-10-03,1.0271,1.032,1.0222,1.0288,,1126.0,664.0
2013-10-02,1.0205,1.03,1.02,1.0272,,1073.0,941.0
2013-10-01,1.0184,1.0243,1.0134,1.0222,,1015.0,830.0
2013-09-30,1.0219,1.0261,1.0161,1.0186,,1077.0,555.0
2013-09-27,1.0111,1.0199,1.0102,1.0178,,1076.0,648.0
2013-09-26,1.016,1.018,1.0089,1.0126,,1188.0,319.0
2013-09-25,1.013,1.017,1.0124,1.0161,,1185.0,452.0
2013-09-24,1.0123,1.0159,1.0088,1.0124,,1238.0,258.0
2013-09-23,1.0073,1.0141,1.007,1.0123,,1243.0,413.0
2013-09-20,1.0062,1.0087,1.0038,1.007,,1157.0,980.0
2013-09-19,1.0191,1.021,1.0038,1.0073,,1179.0,839.0
2013-09-18,1.0095,1.0235,1.0041,1.0213,,986.0,336.0
2013-09-17,1.0101,1.0103,1.0067,1.0093,,945.0,343.0
2013-09-16,1.0092,1.0142,1.0088,1.0089,,888.0,566.0
2013-09-13,1.0056,1.0085,1.0008,1.0078,,608.0,431.0
2013-09-12,1.0006,1.0103,1.0006,1.0061,,452.0,365.0
2013-09-11,0.9963,1.0023,0.9945,1.001,,201.0,174.0
2013-09-10,1.0038,1.0056,0.9957,0.9969,,144.0,97.0
2013-09-09,1.003,1.0068,0.9997,1.0045,,114.0,98.0
2013-09-06,1.0024,1.0152,0.9984,1.0082,,88.0,146.0
2013-09-05,1.0024,1.0053,0.9987,0.9991,,75.0,34.0
2013-09-04,1.0047,1.007,1.0022,1.003,,52.0,40.0
2013-09-03,1.0155,1.0155,1.0022,1.0058,,42.0,4.0
2013-08-30,1.0172,1.0218,1.0164,1.0193,,42.0,2.0
2013-08-29,1.0267,1.0267,1.0159,1.0183,,44.0,12.0
2013-08-28,1.0306,1.033,1.0231,1.0242,,42.0,9.0
2013-08-27,1.0193,1.0315,1.0193,1.0306,,40.0,15.0
2013-08-26,1.017,1.0179,1.0126,1.0144,,27.0,9.0
2013-08-23,1.0122,1.0167,1.0096,1.0142,,27.0,4.0
2013-08-22,1.0188,1.0188,1.013,1.015,,27.0,7.0
2013-08-21,1.0267,1.0298,1.0215,1.0239,,26.0,4.0
2013-08-20,1.0298,1.0323,1.0229,1.0291,,25.0,2.0
2013-08-19,1.0212,1.0274,1.02,1.0255,,24.0,1.0
2013-08-16,1.025,1.0308,1.0236,1.0255,,24.0,2.0
2013-08-15,1.0273,1.0311,1.0146,1.0275,,24.0,2.0
2013-08-14,1.0201,1.0222,1.017,1.0197,,23.0,5.0
2013-08-13,1.0281,1.0281,1.0179,1.0189,,27.0,7.0
2013-08-12,1.0409,1.0429,1.0329,1.0352,,30.0,4.0
2013-08-09,1.034,1.0406,1.0324,1.0389,,30.0,5.0
2013-08-08,1.033,1.0439,1.0329,1.0367,,25.0,7.0
2013-08-07,1.0262,1.0383,1.0238,1.0383,,18.0,6.0
2013-08-06,1.02,1.0258,1.0157,1.0248,,13.0,2.0
2013-08-05,1.018,1.0197,1.0098,1.018,,13.0,2.0
2013-08-02,1.0063,1.0138,1.0023,1.0122,,13.0,1.0
2013-08-01,1.0058,1.0242,1.0055,1.0057,,14.0,0.0
2013-07-31,1.0237,1.0251,1.0171,1.0237,,14.0,0.0
2013-07-30,1.0216,1.0232,1.0172,1.0216,,14.0,0.0
2013-07-29,1.0227,1.0245,1.0227,1.0227,,14.0,1.0
2013-07-26,1.0138,1.0211,1.0138,1.0192,,13.0,2.0
