Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2019-03-14,16.96,17.13,16.95,17.09,17.075,0.025,478.0,0.0,3061.0
2019-03-13,17.1,17.25,16.99,17.02,17.05,-0.075,243.0,0.0,2913.0
2019-03-12,17.14,17.16,17.0,17.11,17.125,-0.1,1215.0,0.0,2867.0
2019-03-11,17.68,17.75,17.15,17.15,17.225,-0.4,1039.0,0.0,2895.0
2019-03-08,17.65,17.95,17.55,17.65,17.625,0.025,1437.0,0.0,2877.0
2019-03-07,17.4,17.65,17.25,17.61,17.6,0.275,327.0,0.0,3479.0
2019-03-06,17.07,17.33,17.06,17.32,17.325,0.25,296.0,0.0,3487.0
2019-03-05,17.07,17.25,17.03,17.06,17.075,0.025,884.0,0.0,3554.0
2019-03-04,16.91,17.35,16.83,17.03,17.05,0.1,1031.0,0.0,3985.0
2019-03-01,17.13,17.2,16.89,16.94,16.95,-0.275,1057.0,0.0,4679.0
2019-02-28,17.35,17.36,17.12,17.15,17.225,-0.075,354.0,0.0,5125.0
2019-02-27,17.55,17.7,17.2,17.31,17.3,-0.25,1119.0,0.0,5143.0
2019-02-26,17.55,17.6,17.38,17.55,17.55,0.1,715.0,0.0,5618.0
2019-02-25,17.45,17.5,17.29,17.45,17.45,-0.05,611.0,0.0,5573.0
2019-02-22,17.9,17.91,17.42,17.5,17.5,-0.4,472.0,0.0,5346.0
2019-02-21,17.86,18.05,17.73,17.85,17.9,0.0,579.0,0.0,5258.0
2019-02-20,18.15,18.15,17.85,17.9,17.9,-0.175,1660.0,0.0,4803.0
2019-02-19,18.05,18.14,17.91,18.06,18.075,-0.05,841.0,0.0,3429.0
2019-02-15,18.35,18.5,18.1,18.11,18.125,-0.2,712.0,0.0,3006.0
2019-02-14,18.2,18.36,18.13,18.31,18.325,0.1,311.0,0.0,2705.0
2019-02-13,18.26,18.3,18.11,18.21,18.225,-0.1,974.0,0.0,2653.0
2019-02-12,18.1,18.15,17.81,18.1,18.1,-0.1,3417.0,0.0,7826.0
2019-02-11,18.15,18.26,18.05,18.2,18.2,0.025,1083.0,0.0,6387.0
2019-02-08,18.3,18.51,18.05,18.15,18.175,-0.1,1032.0,0.0,5895.0
2019-02-07,18.04,18.5,18.04,18.25,18.275,0.275,1653.0,0.0,5686.0
2019-02-06,18.19,18.2,17.98,18.0,18.0,-0.175,550.0,0.0,5256.0
2019-02-05,18.35,18.37,17.96,18.15,18.175,-0.2,409.0,0.0,5292.0
2019-02-04,18.6,18.64,18.33,18.35,18.375,-0.275,371.0,0.0,5381.0
2019-02-01,18.75,18.8,18.57,18.57,18.65,-0.075,643.0,0.0,5424.0
2019-01-31,19.05,19.1,18.71,18.71,18.725,-0.325,348.0,0.0,5255.0
2019-01-30,19.35,19.35,19.05,19.05,19.05,-0.2,331.0,0.0,5139.0
2019-01-29,19.45,19.5,19.2,19.2,19.25,-0.175,954.0,0.0,5053.0
2019-01-28,19.28,19.55,19.15,19.45,19.425,0.275,269.0,0.0,4869.0
2019-01-25,19.29,19.4,19.03,19.05,19.15,-0.3,379.0,0.0,4737.0
2019-01-24,19.67,19.7,19.37,19.44,19.45,-0.175,548.0,0.0,4630.0
2019-01-23,19.6,19.85,19.51,19.65,19.625,-0.05,1380.0,0.0,4358.0
2019-01-22,19.45,19.73,19.4,19.64,19.675,0.3,1192.0,0.0,3822.0
2019-01-18,19.55,19.6,19.3,19.35,19.375,-0.15,1043.0,0.0,3380.0
2019-01-17,19.59,19.73,19.47,19.57,19.525,-0.125,1688.0,0.0,2825.0
2019-01-16,19.65,19.67,19.38,19.6,19.65,0.025,1271.0,0.0,2010.0
2019-01-15,19.65,19.65,19.2,19.37,19.375,-0.3,1591.0,0.0,9594.0
2019-01-14,19.75,19.93,19.53,19.7,19.675,-0.025,1292.0,0.0,8824.0
2019-01-11,19.92,20.05,19.6,19.72,19.7,-0.2,1146.0,0.0,8002.0
2019-01-10,19.97,20.1,19.86,19.92,19.9,-0.025,1551.0,0.0,7511.0
2019-01-09,19.99,20.03,19.78,19.96,19.925,-0.05,1073.0,0.0,6658.0
2019-01-08,20.22,20.37,19.92,20.02,19.975,-0.25,2210.0,0.0,6003.0
2019-01-07,20.25,20.42,20.05,20.16,20.225,-0.075,1268.0,0.0,4532.0
2019-01-04,20.97,21.08,20.3,20.34,20.3,-0.7,1580.0,0.0,4079.0
2019-01-03,20.91,21.15,20.77,20.97,21.0,0.4,1093.0,0.0,3425.0
2019-01-02,20.56,21.05,20.47,20.73,20.6,-0.075,621.0,0.0,3099.0
2018-12-31,20.9,20.91,20.6,20.65,20.675,-0.25,508.0,0.0,2902.0
2018-12-28,21.01,21.25,20.88,20.94,20.925,-0.075,404.0,0.0,2652.0
2018-12-27,20.77,21.55,20.77,21.07,21.0,0.2,610.0,0.0,2627.0
2018-12-26,21.2,21.3,20.66,20.81,20.8,-0.4,1096.0,0.0,2401.0
2018-12-24,21.29,21.56,21.2,21.31,21.2,0.0,207.0,0.0,1986.0
2018-12-21,21.1,21.35,20.65,21.2,21.2,0.175,680.0,0.0,1910.0
2018-12-20,20.97,21.35,20.9,21.02,21.025,0.05,489.0,0.0,1664.0
2018-12-19,20.8,21.08,20.39,21.0,20.975,0.2,884.0,0.0,1451.0
2018-12-18,20.39,20.97,20.38,20.85,20.775,0.25,1643.0,0.0,9958.0
2018-12-17,20.1,20.73,20.02,20.52,20.525,0.425,2794.0,0.0,8863.0
2018-12-14,19.96,20.3,19.9,20.12,20.1,0.175,1126.0,0.0,6696.0
2018-12-13,19.79,20.1,19.71,19.9,19.925,0.1,1064.0,0.0,6058.0
2018-12-12,19.9,19.95,19.57,19.92,19.825,0.0,749.0,0.0,5635.0
2018-12-11,19.8,20.2,19.55,19.99,19.825,0.075,1381.0,0.0,5360.0
