trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",20,0,-111.13287880358955,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",20,0,-181.93576573828764,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",20,0,-95.70194716017383,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",25,0,-64.05216297953761,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",20,0,-68.17508622526418,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",25,0,-115.86523390661405,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",20,0,-54.32851912668358,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",25,0,-161.37777571360024,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",20,0,-57.27658294065971,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359595}",25,0,-120.31362115460378,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",25,0,-156.56212086338041,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",20,0,-59.84449099171556,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",25,0,-179.24477422309428,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",20,4,-140.74217222575922,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 3}",1
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",30,12,-29.654307280218315,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",25,0,-66.80510237529897,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",25,0,-163.23567835710122,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",20,11,-24.231085149758364,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.981179362242806, 'e': 0.8269591339433623}",25,0,-210.32663590813723,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.8187307530779818}",25,0,0.901445003709135,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.9792189645694596, 'e': 0.8105842459701871}",25,0,-31.79043999017086,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
22,False,"{'a': 0.97824023505121, 'e': 0.8025187979624785}",25,3,-51.25390443908956,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 1}",1
23,False,"{'a': 0.9772624837732771, 'e': 0.794533602503334}",25,0,-71.0329954515106,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.9762857097579093, 'e': 0.7866278610665535}",25,10,-73.4940962048426,"{0: 8, 1: 3, 2: 1, 3: 3, 4: 0}",1
25,False,"{'a': 0.9753099120283326, 'e': 0.7788007830714049}",25,0,-139.94101188795517,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
26,False,"{'a': 0.9743350896087494, 'e': 0.7710515858035663}",20,0,-82.93055287328357,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
27,False,"{'a': 0.9733612415243368, 'e': 0.7633794943368531}",30,0,-211.6991633478448,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
28,False,"{'a': 0.9723883668012469, 'e': 0.7557837414557255}",25,0,-203.05617847189757,"{0: 13, 1: 5, 2: 1, 3: 3, 4: 3}",0
29,False,"{'a': 0.9714164644666048, 'e': 0.7482635675785653}",20,0,-58.99097507211644,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
30,False,"{'a': 0.9704455335485082, 'e': 0.7408182206817179}",25,0,-64.51622003585683,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.9694755730760259, 'e': 0.7334469562242892}",25,1,-139.9812678003706,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 3}",1
32,False,"{'a': 0.9685065820791976, 'e': 0.7261490370736909}",20,0,-44.862520265027214,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.967538559589032, 'e': 0.7189237334319262}",25,3,-1.534662092586028,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
