trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",20,0,-87.67409949189295,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",35,6,-105.41485978087115,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 0}",1
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",25,0,-80.57254920707555,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",25,0,-110.77222251554241,"{0: 13, 1: 5, 2: 4, 3: 3, 4: 0}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",30,0,-19.01157925779448,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",20,2,-93.49041005935449,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",25,4,-59.74771734030813,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",20,0,-105.67152540107105,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",20,0,-147.723833007394,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359595}",20,0,-165.6273369961263,"{0: 7, 1: 5, 2: 3, 3: 4, 4: 1}",1
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",20,14,-0.08384414278126795,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",25,0,-108.77984086461444,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",25,0,-308.6331592941319,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 5}",0
