trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",30,0,-168.15591445230876,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",30,0,-121.32263261821511,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",25,0,-137.90166118359903,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",20,0,-89.90863494053032,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",30,0,-126.94872333864829,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",25,0,-137.4317164949803,"{0: 10, 1: 6, 2: 6, 3: 3, 4: 0}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",20,2,-81.92641509320013,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",25,0,-141.5143657896101,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",25,0,-278.5590676362887,"{0: 9, 1: 5, 2: 4, 3: 3, 4: 4}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359595}",20,4,-33.85559929451996,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",25,0,-111.39231511521075,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",20,8,-87.13501306433761,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 2}",1
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",30,0,-135.61185472572126,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",20,0,-101.50910063141015,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",20,0,-70.12568724680014,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",25,0,-96.18848317196229,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",25,0,-96.63775942092403,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",20,0,-71.34457171866714,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.981179362242806, 'e': 0.8269591339433623}",30,0,-167.5408622120919,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.8187307530779818}",20,0,-17.375722823179995,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-110.44728975257145,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-162.1599779140555,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-140.11688803923062,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-25.98127967480731,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-140.73352749016553,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-51.59562155024191,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-131.7412399372793,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-132.9761308821608,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-223.5175463036896,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",35,0,-268.4246700375408,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 5}",0
11,True,"{'a': 0, 'e': 0}",20,0,-115.49684214129834,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
12,True,"{'a': 0, 'e': 0}",20,0,-192.39633670576103,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
13,True,"{'a': 0, 'e': 0}",35,0,-184.385745743661,"{0: 17, 1: 6, 2: 8, 3: 3, 4: 1}",0
14,True,"{'a': 0, 'e': 0}",25,0,-173.4787737070056,"{0: 13, 1: 1, 2: 6, 3: 4, 4: 1}",0
15,True,"{'a': 0, 'e': 0}",20,0,-129.57417320320081,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
16,True,"{'a': 0, 'e': 0}",25,0,-115.77812370426916,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
17,True,"{'a': 0, 'e': 0}",25,0,-100.33467031217477,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",20,0,-81.89192742819534,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
19,True,"{'a': 0, 'e': 0}",30,0,-243.92864852638897,"{0: 13, 1: 5, 2: 7, 3: 2, 4: 3}",0
20,True,"{'a': 0, 'e': 0}",25,10,-94.76353808553017,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 2}",1
